sub,ses,thrld,percent
S038,T02,1,0.0
S038,T01,1,0.009523809523809525
S037,T02,1,0.0
S037,T01,1,0.0
S036,T02,1,0.1523809523809524
S036,T01,1,0.08571428571428572
S035,T02,1,0.0
S035,T01,1,0.009523809523809525
S034,T02,1,0.0
S034,T01,1,0.0
S033,T02,1,0.0
S033,T01,1,0.0
S032,T02,1,0.0
S032,T01,1,0.0
S031,T02,1,0.0
S031,T01,1,0.0
TOT7729F,T02,1,0.01904761904761905
TOT7729F,T01,1,0.0
S029,T02,1,0.01904761904761905
S029,T01,1,0.06666666666666667
S028,T02,1,0.1523809523809524
S028,T01,1,0.0380952380952381
S027,T02,1,0.009523809523809525
S027,T01,1,0.0
S025,T02,1,0.047619047619047616
S025,T01,1,0.0380952380952381
S024,T02,1,0.0
S024,T01,1,0.05714285714285714
S023,T02,1,0.08571428571428572
S023,T01,1,0.09523809523809523
S022,T02,1,0.009523809523809525
S022,T01,1,0.17142857142857143
S021,T02,1,0.0380952380952381
S021,T01,1,0.20952380952380953
S020,T02,1,0.009523809523809525
S020,T01,1,0.09523809523809523
S019,T01,1,0.08571428571428572
S018,T02,1,0.21904761904761905
S018,T01,1,0.14285714285714285
S017,T02,1,0.09523809523809523
S017,T01,1,0.0380952380952381
S016,T02,1,0.009523809523809525
S016,T01,1,0.0
S014,T01,1,0.26666666666666666
S013,T01,1,0.009523809523809525
S012,T01,1,0.2
S011,T01,1,0.009523809523809525
S010,T01,1,0.1523809523809524
S009,T01,1,0.44761904761904764
S007,T01,1,0.0380952380952381
S006,T01,1,0.06666666666666667
S005,T01,1,0.009523809523809525
S004,T01,1,0.1523809523809524
S003,T01,1,0.0
S001,T01,1,0.009523809523809525
44TPEF2154,T01,1,0.0
TOT6487F,T01,1,0.0761904761904762
19TPEF6181,T01,1,0.0
16CAMINO6983,T01,1,0.0
TOT4670F,T01,1,0.0
20CAMINO6226,T01,1,0.0
TOT605M,T01,1,0.05714285714285714
42TPEF5298,T01,1,0.0
23TPEF6185,T01,1,0.08571428571428572
40TPEF3177,T01,1,0.009523809523809525
17TPEF1567,T01,1,0.0
21CAMINO6895,T01,1,0.047619047619047616
33TPEF4092,T01,1,0.0
TOT6003M,T01,1,0.009523809523809525
10CAMINO3096,T01,1,0.0
TOT557M,T01,1,0.01904761904761905
28TPEF6054,T01,1,0.009523809523809525
TOT7839F,T01,1,0.047619047619047616
27CAMINO6055,T01,1,0.0
03CAMINO636,T01,1,0.01904761904761905
TOT4250F,T01,1,0.0
TOT7947M,T01,1,0.0
46TPEF5790,T01,1,0.009523809523809525
24CAMINO3931,T01,1,0.047619047619047616
TOT7520,T01,1,0.05714285714285714
17CAMINO6835,T01,1,0.01904761904761905
TOT8428F,T01,1,0.0
22CAMINO6056,T01,1,0.0
TOT3181m,T01,1,0.009523809523809525
07CAMINO6124,T02,1,0.0
07CAMINO6124,T01,1,0.0
21TPEF6387,T01,1,0.06666666666666667
05CAMINO6516,T01,1,0.0
24TPEF4798,T01,1,0.0
08CAMINO4391,T01,1,0.0
TOT8466Fa,T01,1,0.0
43TPEF5216,T01,1,0.0
22TPEF7067,T01,1,0.0
TOT8222M,T01,1,0.0
TOT7800M,T01,1,0.06666666666666667
47TPEF3729,T01,1,0.0
TOT3551F,T01,1,0.2
2118ToTParticip2,T01,1,0.1523809523809524
01ToTfMRI4796,T01,1,0.12380952380952381
25TPEF5779,T01,1,0.0
5253ToT,T01,1,0.08571428571428572
06CAMINO3954,T01,1,0.0
TOT8542F,T01,1,0.02857142857142857
02CAMINO3944,T01,1,0.009523809523809525
30TPEF5529,T01,1,0.02857142857142857
11CAMINO6646,T01,1,0.01904761904761905
13CAMINO5653,T01,1,0.06666666666666667
26CAMINO3920,T02,1,0.0
26CAMINO3920,T01,1,0.0
TOT6646M,T01,1,0.047619047619047616
37TPEF4536,T01,1,0.0
TOT6358F,T01,1,0.02857142857142857
41TPEF4693,T02,1,0.0
41TPEF4693,T01,1,0.0
14CAMINO6539,T01,1,0.009523809523809525
18CAMINO4619,T01,1,0.0
25CAMINO5325,T01,1,0.0
TOT8313M,T01,1,0.009523809523809525
04CAMINO2138,T01,1,0.0
12CAMINO6735,T01,1,0.0
TOT8553F,T01,1,0.0380952380952381
36TPEF6106,T01,1,0.0
TOT3954M,T01,1,0.0
20TPEF6047,T01,1,0.02857142857142857
TOT8087M,T01,1,0.0
TOT5161F,T01,1,0.0380952380952381
TOT4391F,T01,1,0.0
28CAMINO6650,T01,1,0.0
TOT2154,T01,1,0.09523809523809523
01Caminoreso5503,T01,1,0.0
TOT8360,T01,1,0.009523809523809525
15CAMINO5507,T01,1,0.0
ToTPilot6958ToT,T01,1,0.0
TOT6480,T01,1,0.02857142857142857
TOT4919F,T01,1,0.0
38TPEF5490,T01,1,0.0
TOT7175F,T01,1,0.009523809523809525
